40,AGAMEMNON,"('Agamemnon (Mythology) (Earth-616)', 90)"
41,AGAMEMNON II/ANDREI ,"('Seeker II (Inhuman) (Earth-616)', 86)"
42,AGAMEMNON III/,"('Warren Worthington III (Earth-616)', 86)"
43,AGAMOTTO,"('Agamotto (Earth-616)', 90)"
44,"AGARN, CAPT.","('Aaron Carpenter (Earth-616)', 68)"
45,AGED GENGHIS,"('Aged Genghis (Earth-616)', 90)"
46,"AGEE, DR. AUBREY","('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)"
47,"AGEE, REBECCA","('Rebecca Blake (Earth-616)', 86)"
48,AGENT 18/JACK TRUMAN,"('Orb (Zadkiel agent) (Earth-616)', 86)"
49,AGENT AXIS/,"('Agent Axis (Earth-616)', 90)"
50,AGENT-X/,"('Agent X (Nijo) (Earth-616)', 90)"
51,AGGAMON,"('Aggamon (Earth-616)', 90)"
52,AGINAR,"('Aginar (Earth-616)', 90)"
53,AGON,"('Blackagar Boltagon (Earth-616)', 90)"
54,AGONY/,"('Agony (Symbiote) (Earth-616)', 90)"
55,"AGUIRRE, ISOBEL","('Isobel Aguirre (Earth-616)', 86)"
56,AHAB/RORY CAMPBELL,"('Roderick Campbell (Earth-616)', 86)"
57,AHQLAU,"('Ahqlau (Earth-616)', 90)"
58,AHURA,"('Ahura Boltagon (Earth-616)', 90)"
59,AI-CHIA,"('Ai Apaec (Earth-616)', 86)"
60,AINET,"('Ainet (Earth-616)', 90)"
61,AIR WALKER/ARLO SAMU,"('Air-Walker (Automaton) (Earth-616)', 86)"
62,AIR-WALKER/GABRIEL L,"('Air-Walker (Automaton) (Earth-616)', 86)"
63,AIRBORNE/,"('Airborne (Death Squad) (Earth-616)', 90)"
64,AIREO/AEOLUS [INHUMA,"('Asmodeus (Inhuman) (Earth-616)', 59)"
65,AJAK/TECUMOTZIN [ETE,"('Jack Truman (Earth-616)', 57)"
66,AJAX,"('Ajax (Pantheon) (Earth-616)', 90)"
67,AJAX II,"('Ajax (Pantheon) (Earth-616)', 86)"
68,AJES'HA,"(""Ajes'ha (Earth-616)"", 90)"
69,AKAFE,"('Akaje (Earth-616)', 72)"
70,AKULIA,"('Akulia (Earth-616)', 90)"
71,"AKUTAGAWA, OSAMU","('Osamu Moroboshi (Earth-616)', 86)"
72,AL-KHALAD,"('Al-Khalad (Earth-616)', 90)"
73,ALANYA,"('Atalanta (Pantheon) (Earth-616)', 75)"
74,ALBERIK,"('Alberik (Earth-616)', 90)"
75,ALBERT,"('Albert Potter (Earth-616)', 90)"
76,ALBINO/DR. AUGUSTA S,"('Cecilia (S.W.O.R.D.) (Earth-616)', 86)"
77,"ALBUQUERQUE, JEREMIA","('Jacques Larocque (Earth-616)', 51)"
78,ALCHEMY/THOMAS JONES,"('Richard Jones (Phantom Reporter) (Earth-616)', 86)"
79,"ALDEN, PROF. MEREDIT","('Madelyne Pryor (Earth-616)', 58)"
80,"ALEGRIA, RICHIE","('Richie Alegria (Earth-616)', 86)"
81,"ALEXANDER, CALEB","('Alexander Summers (Earth-616)', 86)"
82,"ALEXANDER, CARRIE","('Alexander Summers (Earth-616)', 86)"
83,ALFY,"('Ralf (Earth-616)', 74)"
84,ALIOTH,"('Medusalith Amaquelin (Earth-616)', 75)"
85,ALIST,"('Alistaire Stuart (Earth-616)', 90)"
86,ALISTRO,"('Alistro (Earth-616)', 90)"
87,"ALLEN, TERRY","('Terry Vance (Earth-616)', 86)"
88,"ALOUETTE, GENARD","('Genard Alouette (Earth-616)', 86)"
89,ALPHA,"('Alpha (Mutant) (Earth-616)', 90)"
90,"ALRAUNE, MARLENE","('Marlene Alraune (Earth-616)', 86)"
91,"ALVAREZ, CARLY","('Victor Alvarez (Earth-616)', 86)"
92,"ALVAREZ, FELIX","('Victor Alvarez (Earth-616)', 86)"
93,"ALVAREZ, PAUL","('Jean-Paul Beaubier (Earth-616)', 86)"
94,AMAZO-MAXI-WOMAN/,"('Old Woman (Red Right Hand) (Earth-616)', 86)"
95,AMAZON,"('Amazon (S.H.E.) (Earth-616)', 90)"
96,AMENHOTEP,"('Cameron Hodge (Earth-616)', 60)"
97,AMERICAN EAGLE II/JA,"('Lobo (Native American) (Earth-616)', 86)"
98,AMERICAN EAGLE III/J,"('Warren Worthington III (Earth-616)', 86)"
99,AMERICAN SAMURAI/,"('American Samurai (Earth-616)', 90)"
100,AMERICOP/,"('Captain America (Steven Rogers)', 68)"
101,AMIKO,"('Amiko Kobayashi (Earth-616)', 90)"
102,AMINEDI,"('Aminedi (Earth-616)', 90)"
103,AMPERE/,"('Ampere (Circle of Pavane) (Earth-616)', 90)"
104,AMPHARON,"('Anna Maria Marconi (Earth-616)', 68)"
105,AMPHIBIAN/KINGLEY RI,"('Amphibian (Earth-616)', 61)"
106,AMPHIBIUS,"('Amphibius (Earth-616)', 90)"
107,ANACONDA/BLANCHE SIT,"('Blanche Sitznski (Earth-616)', 54)"
108,ANAIS,"('Anais (Earth-616)', 90)"
109,ANAK,"('Kenjiro Tanaka (Earth-616)', 90)"
110,ANALYZER,"('Valeria (Latverian) (Earth-616)', 64)"
111,"ANAMI, HIROSHI","('Karnak (Heroes Reborn) (Earth-616)', 58)"
112,ANANASTASIA/ANNA,"('Rogue (Anna Marie) (Earth-616)', 86)"
113,ANARCHIST/TIKE ALICA,"('Tike Alicar (Earth-616)', 65)"
114,ANCESTOR/,"('Ancestor (Earth-616)', 90)"
115,ANCIENT ONE,"('One Above All (Earth-616)', 86)"
116,ANCIENT ONE/BARON MO,"('Nameless One (Undying Ones Leader) (Earth-616)', 86)"
117,"ANDERS, JOSHUA RICHI","('Black Brother (Joshua) (Earth-616)', 86)"
118,"ANDERSON, BAXTER","('Robert Baxter (Earth-616)', 86)"
119,"ANDERSON, CHARLES","('Charles Burlingame (Earth-616)', 86)"
120,"ANDERSON, CHET","('Tam Anderson (Earth-616)', 86)"
121,"ANDERSON, CHIEF MAGI","('Red Hawk (Apache Chief) (Earth-616)', 86)"
122,"ANDERSON, GINA","('Gina Morelli (Earth-616)', 86)"
123,"ANDERSON, MARJORIE","('Christopher Anderson (Earth-616)', 86)"
124,"ANDERSON, NICKY","('Tam Anderson (Earth-616)', 86)"
125,"ANDERSSEN, TANYA","('Tanya Anderssen (Earth-616)', 86)"
126,"ANDREWS, DARYL TROOP","('Daryl Andrews (Earth-616)', 77)"
127,ANDROMEDA/ANDROMEDA ,"('Andromeda Attumasen (Earth-616)', 86)"
128,ANDROS,"('Andros (Earth-616)', 90)"
129,ANDWELLA,"('Andwella (Earth-616)', 90)"
130,ANELLE,"('Anelle (Earth-616)', 90)"
131,ANGAR THE SCREAMER/D,"('It the Living Colossus (Earth-616)', 86)"
132,ANGEL 2013,"('Gloria Angel (Earth-616)', 86)"
133,ANGEL DOPPELGANGER,"('Peter Parker (Doppelganger) (Earth-616)', 86)"
134,ANGEL II/THOMAS HALL,"('Angel Dust (Christina) (Earth-616)', 86)"
135,ANGEL III/HALLOWAY,"('Warren Worthington III (Earth-616)', 86)"
136,ANGEL IV,"('Jester IV (Earth-616)', 86)"
137,ANGEL/WARREN KENNETH,"('Warren Worthington III (Earth-616)', 86)"
138,"ANGELOPOULOS, ANGEL ","('Angel Dust (Christina) (Earth-616)', 86)"
139,ANGKOR,"('Fangor (Earth-616)', 78)"
140,ANGLER,"('Wrangler (Laralie) (Earth-616)', 90)"
141,"ANGSTROM, EARL","('Earl Everett (Earth-616)', 86)"
142,ANIELLE,"('Danielle Moonstar (Earth-616)', 90)"
143,ANIMATOR II/,"('Shingen Harada II (Earth-616)', 86)"
144,ANIMATOR/DR. FREDRIC,"('Steven Rogers (Dr Bong Clone) (Earth-616)', 86)"
145,ANIMUS,"('Animus (Hate-Monger) (Earth-616)', 90)"
146,ANNALEE,"('Annalee (Earth-616)', 90)"
147,ANNIHILUS,"('Annihilus (Earth-616)', 90)"
148,ANOMALY,"('Anomaly (Cosmic Being) (Earth-616)', 90)"
149,ANOMALY III,"('Warren Worthington III (Earth-616)', 86)"
150,"ANON, LORD","('Lord Chaos (Earth-616)', 86)"
151,ANSWER,"('Answer (Hobgoblin) (Earth-616)', 90)"
152,ANSWER II/DAVID FERR,"('David Cannon (Heroes Reborn) (Earth-616)', 86)"
153,ANT-MAN II/SCOTT HAR,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
154,ANT-MAN/DR. HENRY J.,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
155,ANTEUS,"('Anteus (Earth-616)', 90)"
156,ANTHROMORPHO,"('Anthropomorpho (Earth-616)', 75)"
157,ANTI-PHOENIX,"('Phoenix Force (Earth-616)', 86)"
158,ANTI-VISION,"('Vision (Earth-616)', 86)"
159,ANTIBODY,"('Hector Santiago (Earth-616)', 57)"
160,ANTIQUARY/,"('Elite (Vigilante Squad) (Earth-616)', 60)"
161,"ANTOINETTE, MARIE","('Rogue (Anna Marie) (Earth-616)', 86)"
162,ANTORO,"('Antoro (Earth-616)', 90)"
163,ANTRO,"('Nanotron', 77)"
164,"ANUBAR, ANWAR","('Agnar of Vanaheim (Earth-616)', 62)"
165,ANUBIA,"('Anubia (Earth-616)', 90)"
166,ANVIL/JOHNNY ANVIL,"('Baby Face Johnny (Earth-616)', 86)"
167,APE MAN II/ROY MCVEY,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
168,APE MAN/GORDON MONK ,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)"
169,APE-X/XINA,"('X-51 (Earth-616)', 86)"
170,APE/,"('Robin Chapel (Earth-616)', 90)"
171,APOCALYPSE | MUTANT ,"('Headhunter (Mutant) (Earth-616)', 86)"
172,APOCALYPSE/EN SABAH ,"('En Sabah Nur (Evan Sabahnur) (Earth-616)', 86)"
173,APOCRYPHUS,"('Apocalypse Beast (Earth-616)', 63)"
174,APOLLO [GREEK GOD],"('Gorr (God Butcher) (Earth-616)', 86)"
175,APOSTATE,"('Astarte (Earth-616)', 68)"
176,APPALLA,"('Apalla (Earth-616)', 77)"
177,"APPLEBAUM, PHANTASY","('Anna Kapplebaum (Earth-616)', 58)"
178,AQUARIAN/WUNDARR,"('Aquaria Neptunia (Earth-616)', 62)"
179,AQUARIUS II/,"('Shingen Harada II (Earth-616)', 86)"
180,AQUARIUS III/,"('Warren Worthington III (Earth-616)', 86)"
181,AQUARIUS/DARREN BENT,"('Aquarius (Ecliptic) (Earth-616)', 86)"
182,ARABIAN KNIGHT/ABDUL,"('Black Knight (Young Masters) (Earth-616)', 86)"
183,ARACHNE,"('Arachne (Earth-616)', 90)"
184,ARAGORN,"('Aragorn (Earth-616)', 90)"
185,ARAKI II,"('Araki (Earth-616)', 86)"
186,ARAKI [SHI'AR],"('Wu Ao-Shi (Earth-616)', 86)"
187,"ARBOGAST, BAMBI","('Bambina Arbogast (Earth-616)', 86)"
188,ARCADE/,"('Arcade (Earth-616)', 90)"
189,ARCADIUS,"('Arkadine Arcadius (Earth-616)', 90)"
190,ARCANNA/ARCANNA JONE,"('Prester John (Johann) (Earth-616)', 57)"
191,ARCHAEOPTERYX/TONAJA,"('Tonaja (Earth-616)', 53)"
192,"ARCHER, ULYSSES SAMS","('Ulysses Dragonblood (Earth-616)', 86)"
193,ARCHER/JUDE BLACK,"('Black Fox (Thief) (Earth-616)', 86)"
194,ARCLIGHT/PHILLIPA SO,"('Philippa Sontag (Earth-616)', 59)"
195,ARCTURUS,"('Arcturus Rann (Earth-616)', 90)"
196,ARES [GREEK GOD],"('Gorr (God Butcher) (Earth-616)', 86)"
197,AREX,"('Arex (Earth-616)', 90)"
198,ARGOS,"('Rachel Argosy (Earth-616)', 90)"
199,"ARGOSY, HERVE","('Rachel Argosy (Earth-616)', 86)"
200,ARIA,"('Maria Hill (Earth-616)', 90)"
201,ARIANE,"('Marianella Mancha (Earth-616)', 90)"
202,ARIDES,"('Arides (Earth-616)', 90)"
203,ARIEL II,"('Shingen Harada II (Earth-616)', 86)"
204,ARIES II/GROVER RAYM,"('Seeker II (Inhuman) (Earth-616)', 86)"
205,ARIES III/,"('Warren Worthington III (Earth-616)', 86)"
206,ARIES/MARCUS LASSITE,"('Marcus Arlington III (Earth-616)', 86)"
207,ARISHEM [CELESTIAL],"('Celestial Madonna (Earth-616)', 86)"
208,ARIZE,"('Rogue (Anna Marie) (Earth-616)', 72)"
209,"ARKANIAN, GLIB","('Glib Arkanian (Earth-616)', 86)"
210,ARKO,"('Cain Marko (Earth-616)', 90)"
211,ARKON,"('Arkon (Earth-616)', 90)"
212,"ARLINGTON, DR. MARCU","('Marcus Arlington III (Earth-616)', 86)"
213,ARLISSE,"('Todd Arliss (Earth-616)', 77)"
214,ARMADA,"('Armada (Android) (Earth-616)', 90)"
215,ARMADA II/,"('Shingen Harada II (Earth-616)', 86)"
216,ARMADILLO/ANTONIO RO,"('Antonio Rojo (Earth-616)', 59)"
217,ARMAGEDDON,"('Armageddon Man (Earth-616)', 90)"
218,ARMAGEDDON MAN,"('Armageddon Man (Earth-616)', 90)"
219,ARMAND,"('Armando Mu\\u00f1oz (Earth-616)', 90)"
220,ARMAROS,"('Armaros (Earth-616)', 90)"
221,ARMAZIEL,"('Armaziel (Earth-616)', 90)"
222,"ARMBRUSTER, COLONEL ","('John D. Armbruster (Earth-616)', 86)"
223,ARMS MERCHANT/ANDREA,"('Andrea von Strucker (Earth-616)', 86)"
224,"ARMSTRONG, ?","('Franklin Armstrong Schist (Earth-616)', 90)"
225,"ARMSTRONG, MYRA","('Franklin Armstrong Schist (Earth-616)', 86)"
226,ARNSTROM,"('Ian Langstrom (Earth-616)', 79)"
227,ARON [WATCHER],"('Ikor (Watcher) (Earth-616)', 86)"
228,ARRANGER/,"('Arranger (Scarlet Spider) (Earth-616)', 90)"
229,ARROW,"('Marrow (Sarah) (Earth-616)', 90)"
230,ARSENAL,"('Arsenal (Robot) (Earth-616)', 90)"
231,ARSENAL II,"('Shingen Harada II (Earth-616)', 86)"
232,ARSENIC,"('Arsenic (Element) (Earth-616)', 90)"
233,ARTEMIS,"('Artemis (Olympian) (Earth-616)', 90)"
234,ARVAK,"('Arvak (Earth-616)', 90)"
235,ARYAN,"('Aryan (Earth-616)', 90)"
236,ASANO,"('Masano (Earth-616)', 90)"
237,"ASBERY, SHAMARI","('Shamari Asbery (Earth-616)', 86)"
238,ASBESTOS LADY,"('Lady Vermin (Earth-616)', 86)"
239,"ASH, BRANDY","('Brandy Clark (Earth-616)', 86)"
240,ASHEMA [CELESTIAL],"('Celestial Madonna (Earth-616)', 86)"
241,"ASHER, CARL","('Carl Creel (Earth-616)', 86)"
242,"ASHER, DONNA","('Bella Donna Boudreaux (Earth-616)', 86)"
243,"ASHER, MICHAEL","('Michael Morbius (Earth-616)', 86)"
244,ASHUR,"('Garabed Bashur (Earth-616)', 90)"
245,ASKANI,"('Glib Arkanian (Earth-616)', 75)"
246,ASMODEUS,"('Asmodeus (Demon) (Earth-616)', 90)"
247,ASP II/CLEO,"('Cleo Nefertiti (Earth-616)', 86)"
248,ASSAULT/,"('Thomas Samuels (Earth-616)', 64)"
249,ASTARTE,"('Astarte (Earth-616)', 90)"
250,"ASTER, LUCIAN","('Blackwulf (Lucian) (Earth-616)', 86)"
251,ASTRA,"('Astra (Imperial Guard) (Earth-616)', 90)"
252,ASTRA II,"('Shingen Harada II (Earth-616)', 86)"
253,ASTROLOGER/,"('Astrologer (Earth-616)', 90)"
254,ASTRONOMER,"('Astrologer (Earth-616)', 72)"
255,"ASTROVIK, ARNOLD","('Vance Astrovik (Earth-616)', 86)"
256,"ASTROVIK, NORMA","('Vance Astrovik (Earth-616)', 86)"
257,ASYLUM II/HENRIQUE M,"('George Tarleton (M.O.D.O.K. Superior) (Earth-616)', 86)"
258,ASYLUM/,"('Asylum (Psionex) (Earth-616)', 90)"
259,ATALANTA,"('Atalanta (Pantheon) (Earth-616)', 90)"
260,ATALON,"('Atalanta (Pantheon) (Earth-616)', 75)"
261,ATHENA [GREEK GOD],"('Athena Parthenos (Earth-616)', 86)"
262,"ATKINSON, MAJ. EDMON","('Edmond Atkinson (Earth-616)', 62)"
263,ATLAS,"('Atlas (Titan) (Earth-616)', 90)"
264,ATLAS III,"('Warren Worthington III (Earth-616)', 86)"
265,ATOM SMASHER II/,"('Shingen Harada II (Earth-616)', 86)"
266,ATOM SMASHER/,"('Smasher VI (Earth-616)', 86)"
267,ATOM-SMASHER/,"('Smasher VI (Earth-616)', 86)"
268,"ATOR, GENERAL","('Lieutenant General Fredricks (Earth-616)', 86)"
269,ATTRACTIVE LAD/AUNDR,"('Matt Fraction (Earth-616)', 55)"
270,ATTUMA,"('Attuma (Earth-616)', 90)"
271,AUGUST PERSONAGE IN ,"('Dweller-in-Darkness (Earth-616)', 86)"
272,AUNTIE FREEZE/,"('Frankie Raye (Earth-616)', 56)"
273,AURA/ANN HERD,"('Ann Darnell (Earth-616)', 86)"
274,AURIC/,"('Maurice Canfield (Earth-616)', 90)"
275,AURORA DOPPELGANGER,"('Peter Parker (Doppelganger) (Earth-616)', 86)"
276,AURORA | MUTANT X-VE,"('Headhunter (Mutant) (Earth-616)', 86)"
277,AURORA/JEANNE-MARIE ,"('Rogue (Anna Marie) (Earth-616)', 86)"
278,"AUSTIN, GEN.","('Susan Austin (Earth-616)', 86)"
279,"AUSTIN, SUSAN","('Susan Storm (Earth-616)', 86)"
280,"AUSTIN, TERRY","('Terry Vance (Earth-616)', 86)"
281,"AUTHIER, POLICE CHIE","('Frank (Police Officer) (Earth-616)', 86)"
282,"AUTHIER, TRACY TRACE","('Tracey Authier (Earth-616)', 66)"
283,AUTHORITY/,"('Peter Oritz (Earth-616)', 67)"
284,AUTOLYCUS,"('Autolycus (Earth-616)', 90)"
285,AVALANCHE/DOMINIC PE,"('Dominic Dunsinane (Earth-616)', 52)"
286,AVANDALIA,"('Avandalia (Earth-616)', 90)"
287,AVATAR,"('Deluge (Avatars) (Earth-616)', 90)"
288,AVATAR II/PRINCESS A,"('Bill (A.I.M. Agent) (Earth-616)', 86)"
289,AVIA,"('Avia (Savage Land) (Earth-616)', 90)"
290,AVIOS,"('Avios (Earth-616)', 90)"
291,AVIUS,"('Otto Octavius (Earth-616)', 90)"
292,"AVRIL, SALLY","('Sally Blevins (Earth-616)', 86)"
293,"AVRIL, YVETTE","('Sally Avril (Earth-616)', 86)"
294,AWESOME ANDROID,"('Awesome Android (Earth-616)', 90)"
295,AXE/,"('Axeman Bone (Earth-616)', 90)"
296,AXIS/,"('Agent Axis (Earth-616)', 90)"
297,"AYALA, AWILDA","('Hector Ayala (Earth-616)', 86)"
298,"AYALA, FILIPPO","('Hector Ayala (Earth-616)', 86)"
299,"AYALA, MRS.","('Hector Ayala (Earth-616)', 86)"
300,"AYALA, NESTOR","('Hector Ayala (Earth-616)', 86)"
301,AYESHA,"('Ayesha (Earth-616)', 90)"
302,AZAZEL,"('Azazel (Earth-616)', 90)"
303,AZAZEL II,"('Shingen Harada II (Earth-616)', 86)"
304,AZIR,"('Azir (Earth-616)', 90)"
305,AZOPARDI,"('Peter (Leopard Girl Ally) (Earth-616)', 68)"
306,AZOR,"('Razor (Raptor) (Earth-616)', 90)"
307,AZRAEL,"('Azrael (Earth-616)', 90)"
308,AZURE,"('Azure (Earth-616)', 90)"
309,B'ARR,"(""B'arr (Earth-616)"", 90)"
310,B'GON,"(""B'Gon (Earth-616)"", 90)"
311,"B'KOSA, GEN. JONATHA","('Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616)', 86)"
312,BAAL,"('Baal (Gabriel) (Earth-616)', 90)"
313,BAAL II,"('Shingen Harada II (Earth-616)', 86)"
314,BACILLUS,"('Bacillus (Earth-616)', 90)"
315,"BADALAMENTE, JESUS","('Jesus Badalemente (Earth-616)', 86)"
316,"BADALINO, LT. MICHAE","('Michael Badilino (Earth-616)', 69)"
317,"BAILEY, GAILYN","('Gailyn Bailey (Earth-616)', 86)"
318,"BAILEY, JOEY","('Joey Eliot (Earth-616)', 86)"
319,"BAILEY, SARA GREY","('Caretaker (Sara) (Earth-616)', 86)"
320,"BAIRD, DR.","('Dr. Yao (Earth-616)', 86)"
321,BAKER,"('William Baker (Earth-616)', 90)"
322,"BAKER, ANNE-MARIE","('Rogue (Anna Marie) (Earth-616)', 86)"
323,BALABAN/,"('Balaban (Earth-616)', 90)"
324,BALDER [ASGARDIAN],"('Lorelei (Asgardian) (Earth-616)', 86)"
325,"BALDWIN, JUSTIN","('Robert Baldwin (Earth-616)', 86)"
326,"BALDWIN, MADELYNE MA","('Madelyne Pryor (Clone) (Earth-616)', 86)"
327,"BALE, EMERSON","('Emerson Bale (Earth-616)', 86)"
328,"BALLANTINE, DEVON","('Kayla Ballantine (Earth-616)', 86)"
329,"BALLANTINE, KAYLA","('Kayla Ballantine (Earth-616)', 86)"
330,"BALLANTINE, MR.","('Kayla Ballantine (Earth-616)', 86)"
331,"BALLANTINE, MRS.","('Kayla Ballantine (Earth-616)', 86)"
332,BALOR,"('Balor (Earth-616)', 90)"
333,BAMBI,"('Bambina Arbogast (Earth-616)', 90)"
334,"BANCROFT, MARTINE","('Martine Bancroft (Earth-616)', 86)"
335,BANDIT/,"('Granite Bandit (Carelli) (Earth-616)', 90)"
336,"BANK, IRVING","('David Christopher Bank (Earth-616)', 86)"
337,"BANKS, SHARON","('Sharon Carter (Earth-616)', 86)"
338,"BANNER, BETTY ROSS T","('Robert Bruce Banner (Eternals Robot) (Earth-616)', 86)"
339,"BANNERJEE, DR.","('Dr Thaxton (Earth-616)', 86)"
340,"BANNON, LANCE","('Lance Bannon (Earth-616)', 86)"
341,BANSHEE 2013,"('Banshee (North Korean Mutate) (Earth-616)', 86)"
342,BANSHEE II,"('Shingen Harada II (Earth-616)', 86)"
343,BANSHEE/SEAN CASSIDY,"('Banshee (North Korean Mutate) (Earth-616)', 86)"
344,BANTAM/,"('Matthew Banham (Earth-616)', 75)"
345,"BANTOCK, LT. OLIVER","('Oliver Osnick (Earth-616)', 57)"
346,"BAPTISTE, TANTE MATT","('Mattie Baptiste (Earth-616)', 65)"
347,BARAK,"('Barak (Earth-616)', 90)"
348,"BARBAROSSA, MARIO","('Mario Castiglione (Earth-616)', 86)"
349,"BARBAROSSA, VINNIE","('Barbara Bannister (Earth-616)', 60)"
350,BARBARUS,"('Barbarus (Earth-616)', 90)"
351,BARIUM,"('Barium (Element) (Earth-616)', 90)"
352,BARKER,"('Boss Barker (Earth-616)', 90)"
353,"BARKER, MATTHEW T.","('Matthew Murdock (Earth-616)', 86)"
354,BARNACLE/,"('Angelina Brancale (Earth-616)', 68)"
355,"BARNETT, MIKE","('Mike Trapp (Earth-616)', 86)"
356,BARON BLOOD II/VICTO,"('Seeker II (Inhuman) (Earth-616)', 86)"
357,BARON BLOOD/JOHN FAL,"('John Jonah Jameson III (Earth-616)', 86)"
358,BARON BRIMSTONE/,"('Baron Macabre (Earth-616)', 86)"
359,BARON MACABRE/,"('Baron Macabre (Earth-616)', 90)"
360,BARON MORDO/KARL MOR,"('Karl von Horstbadden (Earth-616)', 86)"
361,BARON SAMEDI,"('Baron Samedi (AIM) (Earth-616)', 90)"
362,BARON STRUCKER/WOLFG,"('Wolfgang von Strucker (Earth-616)', 86)"
363,BARON ZEBEK,"('Baron Zebek (Earth-616)', 90)"
364,BARONESS ZEMO/HEIKE,"('Heinrich Zemo (Heroes Reborn) (Earth-616)', 86)"
365,BARRACUDA/,"('Captain Barracuda (Earth-616)', 90)"
366,BARRAGE,"('Barrage (Earth-616)', 90)"
367,"BARRANCO, MARIA ESME","('Maria de Guadalupe Santiago (Earth-616)', 86)"
368,"BARRENOS, OMAR","('Omar Barrenos (Earth-616)', 86)"
369,BARRIER/,"('Bombardier (Earth-616)', 77)"
370,BARRINGTON,"('Arthur Barrington (Earth-616)', 90)"
371,"BARRON, RICK","('Rick Sheridan (Earth-616)', 86)"
372,"BARROWS, WALTER","('Walter Langkowski (Earth-616)', 86)"
373,"BARTLETT, STU","('Stu Cicero (Earth-616)', 86)"
374,"BARTON, SEN.","('Clinton Barton (Earth-616)', 86)"
375,BARTOS,"('Bartos (Earth-616)', 90)"
376,BASALLO/LAVA MEN KIN,"('Walter (X-Men Students) (Earth-616)', 86)"
377,BASALTAR,"('Basaltar (Earth-616)', 90)"
378,BASILISK II,"('Shingen Harada II (Earth-616)', 86)"
379,BASILISK III/,"('Warren Worthington III (Earth-616)', 86)"
380,BASILISK/BASIL ELKS,"('Basil Frankenstein (Earth-616)', 86)"
381,BATAL/,"('Batal (Earth-616)', 90)"
382,BATROC/GEORGES BATRO,"('Georges Batroc (Earth-616)', 78)"
383,BATTERING RAM,"('Battering Ram (Earth-616)', 90)"
384,BATTERY/,"('Battering Ram (Earth-616)', 77)"
385,"BATTLE, MONTGOMERY","('James Montgomery Falsworth (Earth-616)', 86)"
