Hero,Name,Gender
HELIUM,"('Helium (Element) (Earth-616)', 90)",nan
AURIC/,"('Maurice Canfield (Earth-616)', 90)",Male
TILLIE THE HUN/MATIL,"('It the Living Colossus (Earth-616)', 86)",Male
GROTTU,"('Grottu (Earth-616)', 90)",Male
"DOCTOR, DR. JOSHUA","('Segismund Joshua (Earth-616)', 86)",Male
"ANGELOPOULOS, ANGEL ","('Angel Dust (Christina) (Earth-616)', 86)",Female
"LILLIAN, BEA","('Lillian Crawley (Earth-616)', 86)",Female
"FONTREAUX, GUY","('Guy Cross-Wallace (Earth-616)', 86)",Male
"HALL, MORGAN","('Morgan le Fay (Earth-616)', 86)",Female
MOLGOTHA,"('Molgotha (Earth-616)', 90)",Male
MS. FORTUNE/,"('Ms. Lion (Earth-616)', 86)",Male
"TRAVELLER, DR. JUDAS","('Judas Traveller (Earth-616)', 86)",Male
ECCE [WATCHER],"('Ikor (Watcher) (Earth-616)', 86)",Male
BELLAM,"('Bellam (Earth-616)', 90)",Male
SURGE,"('Surge (Alien) (Earth-616)', 90)",Male
"CURZON, DETECTIVE IN","('Dweller-in-Darkness (Earth-616)', 86)",Male
RANDOM,"('Randolph Robertson (Earth-616)', 75)",Male
LADY DEATHSTRIKE/YUR,"('Lady Elizabeth Braddock (Earth-616)', 86)",Female
"TINKER, SHEA","('Rick Shea (Earth-616)', 86)",Male
BANDIT/,"('Granite Bandit (Carelli) (Earth-616)', 90)",Male
"MASON, LOUISE","('Louise Grant (Earth-616)', 86)",Female
"RAMOS, ROGER","('Roger Bochs (Earth-616)', 86)",Male
FEROCIA/,"('Felicia Hardy (Earth-616)', 64)",Female
MADMAN/PHIL STERNS,"('Phil (Stamford resident) (Earth-616)', 86)",Male
"MILLER, FRANK","('Frank Castle (Earth-616)', 86)",Male
BLASTING CAP/,"('Blasting Cap (Earth-616)', 90)",Male
TYN-DARMUTH,"('Elizabeth Tyne (Earth-616)', 66)",Female
"MARRERO, ED","('Ed Marrero (Earth-616)', 86)",Male
ERBIUM,"('Erbium (Element) (Earth-616)', 90)",nan
SPHINX III,"('Warren Worthington III (Earth-616)', 86)",Male
REFLEX/,"('Reflex (Hand ninja) (Earth-616)', 90)",Male
"QUINN, ASHLEY","('Ashley Kafka (Earth-616)', 86)",Female
MISS THING/MARY,"('Mary Jane Watson (Earth-616)', 86)",Female
LIVING MONOLITH/AHME,"('It the Living Colossus (Earth-616)', 86)",Male
"ROBERTSON, MARTHA","('Joseph Robertson (Earth-616)', 86)",Male
SIINGARD,"('Siingard (Earth-616)', 90)",Male
VOID-EATER,"('Void (Dark Sentry) (Earth-616)', 86)",Male
"PEYER, DANNY","('Danny Granville (Earth-616)', 86)",Male
STRONG GUY DOPPELGAN,"('Anthony Stark (Doppelganger) (Earth-616)', 63)",Male
"BAZIN, ALLEGRA","('Valentina Allegra de Fontaine (Earth-616)', 86)",Female
BRUTUS II,"('Shingen Harada II (Earth-616)', 86)",Male
"LEEBRE, VEEDA","('Veeda Leebre (Earth-616)', 86)",Male
TITAN,"('Titan (Earth-616)', 90)",Male
"CROW, REV. JOSHUA","('Jesse Black Crow (Earth-616)', 86)",Male
SHROUD/MAXIMILLIAN Q,"('Maximillian Coleridge (Earth-616)', 86)",Male
"SPAULDING, PETER","('Spider-Man (Peter Parker)', 86)",Male
"MAGRUDER, ALLIE","('Allie Magruder (Earth-616)', 86)",Female
"CASSADA, CARLOS","('Carlos LaMuerto (Earth-616)', 86)",Male
POWER MAN II | MUTAN,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
KRO [DEVIANT],"('Ereshkigal (Deviant) (Earth-616)', 86)",Female
"CRAWLEY, BETRAND","('Lillian Crawley (Earth-616)', 86)",Female
TITANIA/,"('False Titania (Earth-616)', 90)",Female
BRUTUS KLOR,"('Brutus Klor (Earth-616)', 90)",Male
LEESHA,"('Seesha (Earth-616)', 75)",Female
"LECLAIRE, PROFESSOR ","('Professor Cartwright (Earth-616)', 86)",Male
BRUTE/REED RICHARDS ,"('Nathaniel Richards (Earth-616)', 86)",Male
"HARRIGAN, CHESTER CH","('Hypertron 1.0 (Chester) (Earth-616)', 86)",Male
"CHALKER, PROF. VIC","('Vic Chalker (Earth-616)', 77)",Male
"BOUDREAUX, MARIUS","('Bella Donna Boudreaux (Earth-616)', 86)",Female
ZURI,"('Zuri (Earth-616)', 90)",Male
"PORTER, KIM","('Kim Il Sung (Earth-616)', 86)",Male
"BUSIEK, KURT","('Kurt Wagner (Earth-616)', 86)",Male
PURSUER,"('Sarah Purser (Earth-616)', 77)",Female
"STEVENS, MILO","('Jeremy Stevens (Earth-616)', 86)",Male
"MCCABE, NINA","('Lindsay McCabe (Earth-616)', 86)",Female
"POWER, DR. MAX","('Max Eisenhardt (Earth-616)', 86)",Male
TOL-NOK,"('Christoph Nord (Earth-616)', 64)",Male
VEIL,"('Veil (Desert Sword) (Earth-616)', 90)",Female
JARDINE,"('Amos Jardine (Earth-616)', 90)",Male
WILL O' THE WISP/JAC,"('It the Living Colossus (Earth-616)', 86)",Male
COPPER,"('Alfred Coppersmith (Earth-616)', 90)",Male
MINDBLAST,"('Man-Beast (Earth-616)', 60)",Male
BLACKWING II/,"('Shingen Harada II (Earth-616)', 86)",Male
SATHAN,"('Anton Satan (Earth-616)', 78)",Male
"MARTINELLI, VINCENT ","('Vincent (Sisterhood of the Wasp) (Earth-616)', 86)",Male
"NASH, JOHN JOHNNY TH","('John Jonah Jameson III (Earth-616)', 86)",Male
"BLANDING, ANDREW","('Andrew Forson (Earth-616)', 86)",Male
FOOL,"('Fool (Earth-616)', 90)",Male
ANSWER,"('Answer (Hobgoblin) (Earth-616)', 90)",Male
BEETLE/ABNER RONALD ,"('Ronald Wolverstone-Clodd (Earth-616)', 86)",Male
"PELTINO, LT.","('Red Zeppelin (Earth-616)', 66)",Male
ZEALOT/MOREAU,"('Phillip Moreau (Earth-616)', 86)",Male
DIBDEB,"('Dibdeb (Earth-616)', 90)",Male
HECATE,"('Hecate (Horse) (Earth-616)', 90)",nan
SHUMA-GORATH,"('Shuma-Gorath (Multiverse)', 90)",Male
"PINKERTON, RUDY","('Percival Pinkerton (Earth-616)', 86)",Male
"KRAMER, KENNY","('Stacey Kramer (Earth-616)', 86)",Female
"HIDALGO, DETECTIVE J","('Harrison J. Merriwell (Earth-616)', 86)",Male
FLINCH/,"('Bullfinch (Earth-616)', 75)",Male
"MULDOON, TEXAS JACK","('Lance Temple (Texas Kid) (Earth-616)', 86)",Male
IZZIFIZZ,"('Thiazzi (Earth-616)', 53)",Male
SILVER SABLE,"('Silver Sablinova (Earth-616)', 86)",Female
"MARTS, MR.","('Mr. Raven (Earth-616)', 86)",Male
RU,"('Druig (Earth-616)', 90)",Male
ANT-MAN II/SCOTT HAR,"('Iron Man (Anthony \\""Tony\\"" Stark)', 86)",Male
BOLERO/,"('Rabble Rouser (Weinberg) (Earth-616)', 75)",Male
RAWHIDE KID,"('Rawhide Kid (Earth-616)', 90)",Male
"SHIFFMAN, MAXIE","('Maxwell Shiffman (Earth-616)', 86)",Male
"NICHOLS, LORNA","('Lorna Dane (Earth-616)', 86)",Female
CYLLA,"('Cylla Markham (Earth-616)', 90)",Female
REM-RAM/,"('Ram II (Earth-616)', 86)",Male
ALBINO/DR. AUGUSTA S,"('Cecilia (S.W.O.R.D.) (Earth-616)', 86)",Female
"ITOBU, DR. JOSHUA","('Segismund Joshua (Earth-616)', 86)",Male
BROTHERS GRIMM II/BA,"('Benjamin Grimm (Heroes Reborn) (Earth-616)', 86)",Male
"WU, LEIKO","('Leiko Wu (Earth-616)', 86)",Female
"GUTHRIE, LUCINDA","('Samuel Guthrie (Earth-616)', 86)",Male
BIOHAZARD II/FLETCHE,"('Seeker II (Inhuman) (Earth-616)', 86)",Male
SKAR,"('Alexi Skarab (Earth-616)', 90)",Male
OGUN,"('Hogun (Earth-616)', 90)",Male
"STEWART, MACKINLEY","('Jennifer Stewart (Earth-616)', 86)",Female
BARON MACABRE/,"('Baron Macabre (Earth-616)', 90)",Male
ELSIE DEE,"('Elsie Dee (Earth-616)', 90)",Female
"BYRNES, TIM","('Tim Holloway (Earth-616)', 86)",Male
CORSAIR,"('Corsair (Pirate) (Earth-616)', 90)",Male
ACROBAT/CARL ZANTE,"('Carl von Brummel (Earth-616)', 86)",Male
"POTTER, BETSY BEATTY","('Elizabeth \\""Betsy\\"" Ross (Earth-616)', 86)",Female
"RIFKIN, MARJORIE","('Marjorie Brink (Earth-616)', 86)",Female
RADIUS/JARED CORBO,"('Jared Corbo (Earth-616)', 72)",Male
"CORDOVA, JUAN","('Juan Meroz (Earth-616)', 86)",Male
M'DAKA,"(""M'Daka (Earth-616)"", 90)",Male
"NEWMARK, LOTUS","('Lotus Shinchuko (Earth-616)', 86)",Female
GENERAL OBSIDIAN,"('General Obsidian (Earth-616)', 90)",Male
UR-LINI,"('Mr. Lin (Earth-616)', 66)",Male
"AUTHIER, POLICE CHIE","('Frank (Police Officer) (Earth-616)', 86)",Male
CUTTER,"('Jaine Cutter (Earth-616)', 90)",Female
MADAME MASQUE/GIULIE,"('Giuletta Nefaria (Masque) (Earth-616)', 86)",Female
"TITAN, TRISH","('Atlas (Titan) (Earth-616)', 86)",Male
CRUCIBLE/BYRON CALLE,"('Byron Calley (Earth-616)', 59)",Male
HARDCORE/,"('Hardcore (Earth-616)', 90)",Male
"PROVENZANO, PAULIE","('Paul Provenzano (Earth-616)', 70)",Male
JASON II,"('Jason Wyngarde (Earth-616)', 86)",Male
CONTROLLER/BASIL SAN,"('Joey (San Francisco) (Earth-616)', 86)",Male
PROFESSOR ANGST/DR. ,"('Professor Cartwright (Earth-616)', 86)",Male
"GRANT, GLORIA GLORY","('William Grant Nelson (Earth-616)', 86)",Male
PINK PEARL/,"('Pearl Gross (Earth-616)', 86)",Female
COLOSSUS 2013,"('It the Living Colossus (Earth-616)', 86)",Male
"CHENEY, LILA","('Lila Cheney (Earth-616)', 86)",Female
GAMORA,"('Gamora (Earth-616)', 90)",Female
"RIVERA, DR. JASON","('Jason Macendale Jr. (Earth-616)', 86)",Male
HOBGOBLIN,"('Hobgoblin (Imperial Guard) (Earth-616)', 90)",Male
"HOWARD, PROFESSOR MA","('Professor Cartwright (Earth-616)', 86)",Male
CONTEMPLATOR/TATH KI,"('Deconsecrator (Earth-616)', 59)",Male
"STALIN, JOSEF","('Josef Petkus (Earth-616)', 86)",Male
WOLVERINE | MUTANT X,"('Wolverine (James \\""Logan\\"" Howlett)', 86)",Male
SAMEDAR,"('Lord Samedar (Earth-616)', 90)",Male
YANO,"('Mana Yanowa (Earth-616)', 90)",Female
"SMITH, DAPHNE","('Tabitha Smith (Earth-616)', 86)",Female
THERNON,"('Thernon (Earth-616)', 90)",Female
SKEWER,"('Sewer Man (Earth-616)', 78)",Male
